edges,label
"(9909209, 9612103)",1
"(9508094, 7110)",1
"(7191, 3075)",1
"(8119, 5015)",1
"(107255, 104102)",1
"(9510017, 8004)",1
"(9308139, 103229)",1
"(9912020, 9904107)",1
"(9604052, 102105)",1
"(9605130, 5248)",0
"(9803135, 103168)",1
"(9611090, 4087)",1
"(9907088, 105254)",1
"(9810065, 104193)",1
"(106022, 8185)",1
"(3076, 1003)",1
"(9712147, 10100)",1
"(9907070, 9201007)",1
"(9312004, 108044)",1
"(10222, 1025)",1
"(109105, 102021)",1
"(9809027, 10263)",1
"(9909062, 104143)",1
"(9404056, 107247)",1
"(9806104, 103032)",1
"(9912276, 1013)",1
"(9508042, 110274)",1
"(112198, 12234)",1
"(109114, 5032)",1
"(9910156, 5144)",1
"(109131, 101199)",1
"(9909198, 9602070)",1
"(9805199, 9133)",1
"(9912161, 108085)",1
"(109219, 3210)",1
"(12239, 9181)",1
"(4080, 2067)",1
"(103193, 1092)",1
"(9803015, 11192)",1
"(106031, 105206)",1
"(106068, 9246)",1
"(3203, 2170)",1
"(9308067, 12248)",0
"(9807080, 103163)",1
"(9803243, 112158)",1
"(6193, 5040)",1
"(9909029, 9308045)",1
"(9612181, 102018)",1
"(9902210, 10282)",1
"(9810190, 9044)",1
"(9811034, 109039)",1
"(109032, 101207)",1
"(109054, 102125)",1
"(9611174, 11236)",1
"(9705130, 106234)",1
"(10203, 2091)",1
"(9912184, 9609217)",1
"(9303132, 9202076)",0
"(9904095, 4141)",1
"(101209, 101029)",1
"(12249, 6192)",1
"(9303132, 8128)",0
"(9910219, 108017)",1
"(10026, 7204)",1
"(11262, 4134)",1
"(9809162, 109197)",1
"(3264, 2219)",1
"(9702027, 2245)",1
"(9601113, 2225)",1
"(104044, 5068)",1
"(9912152, 9609239)",1
"(9210115, 112029)",1
"(9511043, 106146)",1
"(9132, 8164)",1
"(110277, 105097)",1
"(9601036, 108135)",1
"(9912027, 1071)",1
"(9904071, 6033)",1
"(9064, 6068)",1
"(9912164, 7170)",1
"(9401030, 5259)",1
"(9901077, 3204)",1
"(9802150, 4187)",1
"(106232, 8119)",1
"(3251, 2159)",1
"(9308139, 9151)",1
"(104227, 2190)",1
"(9705062, 9303132)",0
"(9906119, 12178)",1
"(9189, 5006)",1
"(9802109, 105117)",1
"(9812158, 3024)",1
"(9710230, 5105)",1
"(102121, 6189)",1
"(112100, 11075)",0
"(9911066, 4019)",1
"(9912052, 5044)",1
"(9205117, 9910246)",0
"(9511204, 2240)",1
"(9303132, 104055)",0
"(9910052, 101211)",1
"(9510017, 11032)",1
"(110232, 105066)",1
"(9505006, 5076)",1
"(9604129, 6201)",1
"(9903224, 10256)",1
"(108092, 8140)",1
"(9701060, 3290)",1
"(9710231, 2021)",1
"(107179, 12184)",1
"(9812240, 11292)",1
"(9703141, 101006)",1
"(108168, 3203)",1
"(8171, 6238)",1
"(9602113, 10185)",0
"(9051, 3075)",1
"(203235, 109122)",1
"(9508177, 8172)",1
"(6071, 2211)",1
"(9712185, 3136)",1
"(9906064, 6093)",1
"(106141, 2233)",1
"(9712095, 101217)",1
"(9711200, 5021)",1
"(110191, 106181)",1
"(9502030, 9223)",1
"(9910263, 109070)",1
"(4080, 4013)",1
"(9912012, 110108)",1
"(9405029, 106126)",1
"(9909059, 10204)",1
"(105117, 105036)",1
"(9611072, 110108)",1
"(9712080, 3021)",1
"(9811056, 7058)",1
"(9910016, 103112)",1
"(9224, 5006)",1
"(101229, 8052)",1
"(9305020, 11248)",1
"(9802109, 9006)",1
"(3197, 3117)",1
"(9801030, 101210)",1
"(102036, 11145)",1
"(9605101, 102121)",1
"(102173, 12080)",1
"(9704131, 11285)",1
"(10163, 2160)",1
"(101042, 3300)",1
"(9707049, 2012)",1
"(9709027, 102080)",1
"(110200, 101199)",1
"(9504019, 3081)",1
"(9701149, 5068)",1
"(9510017, 9199)",1
"(9912150, 9610234)",1
"(9808032, 102113)",1
"(9609026, 8241)",1
"(104126, 2037)",1
"(9908105, 9130)",1
"(9911040, 8130)",1
"(110055, 11073)",1
"(9601151, 106083)",1
"(9804027, 112109)",1
"(108008, 105206)",1
"(110122, 109132)",1
"(9912232, 8134)",1
"(9503046, 2233)",1
"(9708005, 3096)",1
"(9812237, 11255)",1
"(9712186, 3298)",1
"(106209, 7146)",1
"(104159, 101091)",1
"(9710208, 106285)",1
"(9307049, 9054)",1
"(9610043, 108128)",1
"(9233, 8144)",1
"(9603053, 1027)",1
"(9810218, 3019)",0
"(9410104, 105308)",1
"(9407087, 103222)",1
"(10252, 1145)",1
"(9310148, 109161)",1
"(9803176, 109130)",1
"(9906194, 5185)",1
"(9910022, 2242)",1
"(9303143, 106201)",1
"(9912249, 101077)",1
"(9909213, 7067)",1
"(9803235, 1002)",1
"(106234, 105108)",1
"(9703219, 102108)",1
"(9608024, 1106)",1
"(112100, 6070)",0
"(9903107, 104106)",1
"(9803002, 106015)",1
"(107179, 9231)",1
"(9908038, 1027)",1
"(9711113, 11004)",1
"(7089, 6062)",1
"(9611230, 8141)",1
"(9805171, 9039)",1
"(107049, 10097)",1
"(9611042, 101018)",1
"(9602031, 7240)",1
"(9704158, 106217)",1
"(106107, 105024)",1
"(9208036, 102155)",1
"(9202053, 5233)",1
"(9207020, 101225)",1
"(9612148, 106129)",1
"(9306002, 108039)",1
"(9605042, 3190)",1
"(9908050, 7151)",1
"(111070, 3066)",1
"(9901146, 3019)",1
"(110085, 10010)",1
"(103079, 102112)",1
"(12194, 7241)",1
"(9705120, 1142)",1
"(9912118, 11195)",1
"(9802109, 108172)",1
"(9606172, 108204)",1
"(9802088, 107172)",1
"(9812042, 101074)",1
"(9602113, 102090)",0
"(9605022, 7242)",1
"(9809057, 103071)",1
"(9212115, 105072)",1
"(9503030, 107138)",1
"(9405124, 9016)",1
"(9706089, 103163)",1
"(9408141, 109063)",0
"(9903190, 103111)",1
"(9910065, 3213)",1
"(10251, 7078)",1
"(107251, 7140)",1
"(9901014, 103021)",1
"(9707093, 7236)",1
"(12249, 3237)",1
"(9903205, 6160)",1
"(9806220, 102021)",1
"(108101, 12251)",0
"(9311177, 106231)",1
"(9906064, 11290)",1
"(108209, 108172)",1
"(104104, 4083)",1
"(104177, 12158)",1
"(5256, 1205)",1
"(9233, 8120)",1
"(9609062, 106045)",1
"(11282, 11166)",1
"(4013, 3160)",1
"(111199, 10240)",1
"(111017, 102105)",1
"(9712105, 106253)",1
"(9510086, 102099)",1
"(6225, 6202)",1
"(9908142, 9196)",1
"(9806155, 1130)",1
"(9810170, 104112)",1
"(105215, 104189)",1
"(102173, 12210)",1
"(9604174, 105145)",0
"(9511194, 108043)",1
"(12034, 9211)",1
"(107044, 106155)",1
"(9805153, 110004)",1
"(9803235, 110018)",1
"(103021, 7158)",1
"(9802150, 106086)",1
"(9912070, 8144)",1
"(9903225, 106120)",1
"(9806140, 2035)",1
"(9904196, 102099)",1
"(9912290, 9904044)",1
"(9912289, 3010)",1
"(9908126, 12267)",1
"(9812099, 2068)",1
"(103164, 5273)",1
"(9905159, 9135)",1
"(9504150, 5055)",1
"(9411004, 110122)",1
"(9802174, 7161)",1
"(10088, 7191)",1
"(3263, 1037)",1
"(9902023, 5165)",1
"(9401081, 6035)",1
"(9807184, 12251)",0
"(9910174, 1033)",1
"(9905081, 9202)",1
"(9506186, 3190)",1
"(9704150, 1030)",1
"(104126, 9148)",1
"(9911135, 2116)",1
"(9902171, 5026)",1
"(9912230, 9303160)",1
"(9912250, 5192)",1
"(9904026, 2078)",1
"(9912249, 102174)",1
"(9312188, 11107)",1
"(9906246, 12158)",1
"(9910030, 7009)",1
"(9912227, 9901093)",1
"(9910004, 106103)",1
"(9907082, 9083)",1
"(9607207, 7083)",1
"(9911126, 5056)",1
"(9812025, 2160)",1
"(9912208, 103239)",1
"(9912191, 9902184)",1
"(9909081, 2138)",1
"(112145, 11077)",1
"(9807100, 102090)",1
"(9503163, 10233)",1
"(9908040, 112092)",1
"(9806039, 2044)",1
"(9912195, 6229)",1
"(9212049, 2087)",1
"(9070, 8057)",1
"(9705219, 7208)",1
"(108044, 12007)",1
"(107262, 105160)",1
"(9510135, 2184)",1
"(101145, 5031)",1
"(9910053, 10206)",1
"(9601070, 5050)",0
"(9501065, 10147)",1
"(9904211, 103031)",1
"(9912118, 3020)",1
"(9811143, 1214)",1
"(9210009, 7142)",1
"(9911165, 101228)",1
"(112145, 112126)",1
"(8128, 112244)",0
"(9805157, 5067)",1
"(9701037, 8103)",1
"(9804026, 6049)",1
"(111257, 110079)",1
"(107007, 5031)",1
"(9905111, 12097)",1
"(109186, 10060)",1
"(102126, 1206)",1
"(9906064, 111166)",1
"(9112, 1037)",1
"(9603087, 2184)",1
"(9903224, 109217)",1
"(9905165, 6101)",1
"(9910172, 7243)",1
"(9511072, 12023)",1
"(9510135, 103262)",1
"(9403188, 111211)",1
"(9906220, 10154)",1
"(9507048, 8241)",1
"(9909062, 12071)",1
"(10163, 4160)",1
"(9610166, 4149)",1
"(9512030, 3264)",1
"(9801189, 101126)",1
"(9711200, 4151)",1
"(8119, 6085)",1
"(9901022, 10224)",1
"(9907123, 9709180)",1
"(105204, 103239)",1
"(11187, 2173)",1
"(9912009, 9510157)",1
"(9911116, 8013)",1
"(9808140, 11258)",1
"(9902113, 101102)",1
"(9906182, 5217)",1
"(111160, 6235)",1
"(9805217, 11173)",1
"(9606138, 7073)",1
"(9911107, 9705123)",1
"(9802109, 102094)",1
"(6247, 3242)",1
"(11294, 3015)",0
"(9912287, 9911165)",1
"(9911229, 3298)",1
"(7156, 5129)",1
"(10093, 3020)",1
"(9701008, 4142)",1
"(106281, 6056)",1
"(101194, 2111)",1
"(9155, 3226)",1
"(9405113, 1149)",1
"(9911186, 8092)",1
"(9812165, 10169)",1
"(9811100, 10224)",1
"(9710163, 3177)",1
"(9810035, 3064)",1
"(12208, 11083)",1
"(11279, 11089)",1
"(106061, 8081)",1
"(9906161, 12218)",1
"(103172, 10159)",1
"(9912072, 105185)",1
"(9901080, 5040)",1
"(9812021, 101208)",1
"(9303012, 3009)",1
"(9804058, 1138)",1
"(9912081, 112244)",1
"(9507012, 11279)",1
"(9811211, 3190)",1
"(9911041, 8019)",1
"(106141, 102157)",1
"(9611164, 101126)",1
"(9303132, 7172)",0
"(9507032, 11197)",1
"(9906064, 104056)",1
"(9906064, 106245)",1
"(110070, 105293)",1
"(9909030, 107081)",1
"(9711013, 2004)",1
"(9911091, 9602043)",1
"(9912188, 10196)",1
"(9706032, 7195)",1
"(9510209, 102125)",1
"(9903107, 4080)",1
"(9401043, 102189)",0
"(110192, 10116)",1
"(11247, 2011)",1
"(9712151, 112244)",0
"(104229, 9148)",1
"(101211, 10090)",1
"(104124, 11111)",1
"(9707244, 4087)",1
"(9210065, 105098)",1
"(9711200, 103058)",1
"(9709100, 102011)",1
"(9806120, 12137)",1
"(105283, 3036)",1
"(6235, 5015)",1
"(9810003, 9205117)",0
"(8231, 8227)",1
"(9809103, 106218)",1
"(105091, 8192)",1
"(9909030, 108001)",1
"(9409113, 10008)",1
"(9810218, 108101)",0
"(9711200, 11279)",1
"(9807076, 3235)",1
"(9608121, 5050)",0
"(9906198, 105198)",1
"(9912249, 6052)",1
"(9908160, 3038)",1
"(11003, 6114)",1
"(106274, 105032)",1
"(9905111, 108025)",1
"(9807069, 105222)",1
"(9210068, 110263)",1
"(9805034, 2158)",1
"(10090, 8075)",1
"(9712226, 7220)",1
"(9909110, 2202)",1
"(9802043, 9084)",1
"(9403129, 9810003)",0
"(9403054, 103177)",1
"(9806194, 101188)",1
"(9804006, 109092)",1
"(9603051, 5076)",1
"(111008, 107169)",1
"(9909065, 9606072)",1
"(9303123, 108040)",1
"(106033, 105098)",1
"(9409161, 109063)",0
"(9082, 6112)",1
"(3200, 1135)",1
"(9907088, 111222)",1
"(9812219, 8057)",1
"(109038, 4160)",1
"(9807137, 103167)",1
"(9909082, 109175)",1
"(9912106, 108113)",1
"(103021, 8023)",1
"(9909042, 3190)",1
"(9807124, 108183)",1
"(9712048, 107119)",1
"(110270, 9103)",1
"(9511108, 10271)",1
"(105186, 7065)",1
"(104185, 12073)",1
"(9908014, 107194)",1
"(9201066, 109017)",0
"(9901080, 111145)",1
"(9503170, 101186)",1
"(9210045, 4172)",1
"(9906022, 2094)",1
"(9802183, 1186)",1
"(9811213, 7236)",1
"(9705169, 4098)",1
"(9909172, 11281)",1
"(10154, 7146)",1
"(9806021, 6048)",1
"(9207094, 8142)",1
"(9711162, 12225)",1
"(110115, 3198)",1
"(9211075, 110252)",1
"(9803019, 102089)",1
"(9512181, 11171)",1
"(9809022, 2160)",1
"(105151, 3291)",1
"(9811139, 106020)",1
"(9711200, 11167)",1
"(9912287, 12129)",1
"(7205, 3148)",1
"(9908152, 4183)",1
"(9805008, 105177)",1
"(105238, 12198)",1
"(109147, 12213)",1
"(9612080, 105125)",1
"(9412059, 9120)",1
"(103029, 9250)",1
"(9903077, 7050)",1
"(9066, 8180)",1
"(108152, 7191)",1
"(111061, 102201)",1
"(9907058, 105195)",1
"(9704089, 101126)",1
"(8193, 3061)",1
"(9912153, 4183)",1
"(9908056, 1167)",1
"(9806022, 8192)",1
"(9912257, 9702093)",1
"(2212, 2119)",1
"(9908142, 102182)",1
"(9910023, 109198)",1
"(9610105, 103086)",1
"(9907107, 3245)",1
"(9611100, 10266)",1
"(107084, 3230)",1
"(9909130, 1107)",1
"(9711202, 101208)",1
"(8227, 8033)",1
"(106059, 11149)",1
"(9903228, 106112)",1
"(9807051, 101099)",1
"(9912083, 9602077)",1
"(9912083, 9602167)",1
"(9204001, 4044)",1
"(9503124, 107259)",1
"(9811159, 11261)",1
"(9805170, 105216)",1
"(9906206, 8106)",1
"(107018, 103009)",1
"(12202, 105178)",0
"(9010, 5025)",1
"(9909129, 9708119)",1
"(104227, 3045)",1
