edges
"(9701027, 9312036)"
"(9707217, 9707086)"
"(9607104, 9505026)"
"(9609214, 9503181)"
"(9701096, 9404015)"
"(9301042, 9201056)"
"(9710105, 9506163)"
"(9612236, 9309030)"
"(9511143, 9503097)"
"(9412143, 9310183)"
"(9712119, 9307078)"
"(9703210, 9509142)"
"(9909114, 9311052)"
"(9904216, 9408084)"
"(9803206, 9409166)"
"(9412056, 9307059)"
"(9404081, 9304008)"
"(9411158, 9410159)"
"(9707148, 9307078)"
"(9508045, 9405072)"
"(9905092, 9808141)"
"(9612151, 9411075)"
"(9602058, 9405027)"
"(9901023, 9811004)"
"(9701160, 9608057)"
"(9612236, 9210075)"
"(9611115, 9304008)"
"(9910156, 9806138)"
"(9902126, 9412152)"
"(9904216, 9605089)"
"(9902150, 9707217)"
"(9809061, 9612151)"
"(9902149, 9609122)"
"(9503044, 9306013)"
"(9604096, 9512085)"
"(9812051, 9810163)"
"(9910087, 9603200)"
"(9904104, 9306028)"
"(9801058, 9605109)"
"(9408112, 9401154)"
"(9901136, 9612151)"
"(9910071, 9501033)"
"(9901136, 9211068)"
"(9605054, 9403132)"
"(9902149, 9601135)"
"(9508045, 9308136)"
"(9904216, 9605132)"
"(9910087, 9203036)"
"(9912226, 9803224)"
"(9511033, 9412143)"
"(9604096, 9306013)"
"(9910087, 9501033)"
"(9803025, 9404015)"
"(9912261, 9605054)"
"(9706049, 9507052)"
"(9807241, 9801058)"
"(9904208, 9701027)"
"(9505026, 9408171)"
"(9804200, 9510026)"
"(9910091, 9505187)"
"(9710105, 9404015)"
"(9811004, 9604026)"
"(9912107, 9511058)"
"(9803249, 9505083)"
"(9704082, 9503169)"
"(9902192, 9511143)"
"(9701101, 9611202)"
"(9409184, 9311157)"
"(9602039, 9407135)"
"(9604072, 9507052)"
"(9703210, 9603114)"
"(9803231, 9506163)"
"(9508024, 9505083)"
"(9610037, 9412119)"
"(9803224, 9307035)"
"(9805026, 9408171)"
"(9803231, 9206028)"
"(9803262, 9201020)"
"(9805198, 9605132)"
"(9601164, 9408112)"
"(9902149, 9701027)"
"(9802019, 9307030)"
"(9701168, 9312036)"
"(9911112, 9902101)"
"(9605054, 9308136)"
"(9811004, 9612226)"
"(9910029, 9207015)"
"(9905038, 9712207)"
"(9604026, 9312036)"
"(9608063, 9605112)"
"(9904208, 9208047)"
"(9811012, 9802019)"
"(9902149, 9704001)"
"(9512129, 9212129)"
"(9707237, 9507043)"
"(9703113, 9701096)"
"(9707148, 9306028)"
"(9603146, 9309030)"
"(9612225, 9412143)"
"(9803224, 9412227)"
"(9508045, 9507143)"
"(9605052, 9603156)"
"(9704021, 9306079)"
"(9703204, 9605112)"
"(9704110, 9701027)"
"(9808041, 9406047)"
"(9704110, 9612226)"
"(9902099, 9603009)"
"(9603009, 9408171)"
"(9710105, 9605052)"
"(9501039, 9412143)"
"(9512129, 9305122)"
"(9902149, 9811012)"
"(9910087, 9902101)"
"(9808041, 9308136)"
"(9612236, 9206028)"
"(9710105, 9311052)"
"(9705139, 9508024)"
"(9704043, 9410042)"
"(9812051, 9801004)"
"(9912261, 9601050)"
"(9707069, 9412056)"
"(9607234, 9601135)"
"(9605089, 9603146)"
"(9703113, 9503079)"
"(9909114, 9606030)"
"(9407154, 9306028)"
"(9507143, 9504161)"
"(9701047, 9211068)"
"(9909052, 9201020)"
"(9903048, 9602058)"
"(9912226, 9510026)"
"(9803071, 9306028)"
"(9511017, 9306013)"
"(9902150, 9801058)"
"(9910156, 9511017)"
"(9804200, 9803224)"
"(9808095, 9604072)"
"(9808108, 9704110)"
"(9608190, 9604096)"
"(9708163, 9505187)"
"(9912024, 9707217)"
"(9902192, 9709066)"
"(9704001, 9408112)"
"(9806211, 9503181)"
"(9709063, 9605132)"
"(9912226, 9310132)"
"(9904216, 9503044)"
"(9909133, 9803206)"
"(9612236, 9511058)"
"(9701096, 9501033)"
"(9701168, 9511098)"
"(9612042, 9601050)"
"(9503227, 9304008)"
"(9407154, 9406047)"
"(9803224, 9311157)"
"(9910156, 9711203)"
"(9701047, 9511058)"
"(9603200, 9211036)"
"(9902099, 9803231)"
"(9811232, 9511098)"
"(9902126, 9707237)"
"(9707217, 9603169)"
"(9811004, 9206063)"
"(9609214, 9506033)"
"(9905039, 9308136)"
"(9812217, 9503169)"
"(9905152, 9808095)"
"(9701027, 9408112)"
"(9811070, 9503044)"
"(9912226, 9206063)"
"(9912226, 9707086)"
"(9910087, 9210071)"
"(9910156, 9304008)"
"(9905092, 9811232)"
"(9811004, 9306034)"
"(9405018, 9310132)"
"(9910119, 9601050)"
"(9907081, 9304008)"
"(9809061, 9704082)"
"(9602058, 9503097)"
"(9911094, 9506163)"
"(9902099, 9709080)"
"(9503181, 9503079)"
"(9505083, 9303140)"
"(9712207, 9301042)"
"(9905092, 9605109)"
"(9703113, 9609106)"
"(9512085, 9405159)"
"(9705202, 9603156)"
"(9404093, 9203036)"
"(9511143, 9507150)"
"(9707148, 9610209)"
"(9812051, 9705139)"
"(9705161, 9401154)"
"(9504161, 9407022)"
"(9502037, 9203037)"
"(9902126, 9503181)"
"(9905092, 9701168)"
"(9409166, 9210075)"
"(9812051, 9206063)"
"(9810163, 9607234)"
"(9612093, 9611052)"
"(9808108, 9805156)"
"(9606076, 9404015)"
"(9909133, 9211079)"
"(9912226, 9410159)"
"(9705024, 9607234)"
"(9505026, 9207015)"
"(9902192, 9801008)"
"(9507052, 9402107)"
"(9610209, 9511098)"
"(9608125, 9602058)"
"(9910136, 9208047)"
"(9704110, 9206028)"
"(9704043, 9306103)"
"(9704110, 9412143)"
"(9904208, 9704021)"
"(9612190, 9512210)"
"(9502037, 9207015)"
"(9407135, 9201056)"
"(9412119, 9301042)"
"(9808095, 9311041)"
"(9805156, 9602058)"
"(9805156, 9309030)"
"(9711061, 9510026)"
"(9512095, 2114)"
"(9903048, 9806138)"
"(9606076, 9412056)"
"(9801004, 9712207)"
"(9903048, 9505187)"
"(9410042, 9311157)"
"(9709066, 9605054)"
"(9709063, 9606030)"
"(9405027, 9206028)"
"(9804143, 9505187)"
"(9512085, 9503101)"
"(9808095, 9611052)"
"(9310132, 9211133)"
"(9801004, 9408112)"
"(9809061, 9307030)"
"(9910007, 9610209)"
"(9507150, 2114)"
"(9909059, 9805156)"
"(9902189, 9311157)"
"(9504161, 9310132)"
"(9910091, 9902189)"
"(9803231, 9203036)"
"(9608125, 9309030)"
"(9412227, 9412143)"
"(9412227, 9206028)"
"(9312036, 9309030)"
"(9902149, 9507143)"
"(9407135, 9304049)"
"(9904209, 9704021)"
"(9910183, 9803262)"
"(9612151, 9410126)"
"(9905038, 9804143)"
"(9801008, 9601050)"
"(9609015, 9404015)"
"(9602117, 9210075)"
"(9602039, 9412056)"
"(9904216, 9612042)"
"(9609015, 9211079)"
"(9505083, 9302109)"
"(9910119, 9605012)"
"(9704082, 9410198)"
"(9708163, 9503181)"
"(9910091, 9203036)"
"(9806170, 9203036)"
"(9912226, 9603114)"
"(9612226, 9304096)"
"(9708163, 9705202)"
"(9306013, 2114)"
"(9910087, 9502058)"
"(9804200, 9506033)"
"(9809061, 9212129)"
"(9911112, 9701168)"
"(9603009, 2114)"
"(9806211, 9305122)"
"(9902192, 9608063)"
"(9905211, 9512085)"
"(9703166, 9701047)"
"(9805198, 9412152)"
"(9812051, 9707086)"
"(9412227, 9304008)"
"(9910071, 9310083)"
"(9608057, 9409184)"
"(9812217, 9409166)"
"(9911112, 9704082)"
"(9908128, 9411075)"
"(9503079, 9308136)"
"(9805156, 9703166)"
"(9912107, 9902099)"
"(9806138, 9710105)"
"(9609106, 9306103)"
"(9605054, 9306028)"
"(9404044, 9310083)"
"(9901023, 9302109)"
"(9505026, 9211068)"
"(9801115, 9711061)"
"(9803025, 9409184)"
"(9512210, 9503044)"
"(9811012, 9609015)"
"(9912261, 9712207)"
"(9912226, 9306028)"
"(9910087, 9603114)"
"(9608125, 9412056)"
"(9503097, 9212129)"
"(9803249, 9410159)"
"(9612111, 9206028)"
"(9910119, 9304096)"
"(9705161, 2114)"
"(9902126, 9505083)"
"(9811004, 9311041)"
"(9506163, 9504108)"
"(9905038, 9512085)"
"(9910007, 9605132)"
"(9706036, 9206063)"
"(9902149, 9612151)"
"(9803262, 9511058)"
"(9712207, 9410042)"
"(9806138, 9512210)"
"(9803263, 9509099)"
"(9803073, 9511033)"
"(9501039, 9310132)"
"(9311157, 9211068)"
"(9902149, 9601063)"
"(9908128, 9904216)"
"(9612151, 9612093)"
"(9610062, 9503181)"
"(9903048, 9310132)"
"(9704082, 9503079)"
"(9707069, 9408171)"
"(9507150, 9212129)"
"(9303046, 9212129)"
"(9604072, 9306013)"
"(9412119, 9206028)"
"(9809061, 9211068)"
"(9805092, 9503169)"
"(9507150, 9306103)"
"(9912024, 9803231)"
"(9911112, 9605132)"
"(9902099, 9306013)"
"(9605054, 9310083)"
"(9503097, 9309030)"
"(9704110, 9412056)"
"(9605216, 9206028)"
"(9803262, 9211068)"
"(9904209, 9701027)"
"(9610062, 9208047)"
"(9805092, 9605112)"
"(9812217, 9801058)"
"(9611052, 9302109)"
"(9902192, 9902099)"
"(9910127, 9412143)"
"(9605112, 9406047)"
"(9605089, 9508024)"
"(9609214, 9210071)"
"(9803263, 9412143)"
"(9508024, 9404015)"
"(9902126, 9309030)"
"(9605216, 9301042)"
"(9911112, 9610237)"
"(9904104, 9704082)"
"(9603009, 9511143)"
"(9910061, 9811070)"
"(9911112, 9309030)"
"(9904104, 9902150)"
"(9908146, 9512095)"
"(9903082, 9803231)"
"(9707237, 9609214)"
"(9912226, 9201020)"
"(9701047, 9612042)"
"(9901136, 9304008)"
"(9307035, 9206028)"
"(9602058, 9409166)"
"(9610062, 9412143)"
"(9507150, 9305122)"
"(9904209, 9709220)"
"(9603169, 9505026)"
"(9902149, 9703113)"
"(9802019, 9305122)"
"(9801058, 9309030)"
"(9707217, 9507143)"
"(9707069, 9602058)"
"(9904104, 9901023)"
"(9512095, 9412056)"
"(9904209, 9306028)"
"(9703204, 9411075)"
"(9904216, 9612151)"
"(9508045, 9501033)"
"(9701047, 9307078)"
"(9911112, 9803174)"
"(9811232, 9804200)"
"(9711061, 9306028)"
"(9601050, 9502058)"
"(9608190, 9306034)"
"(9811012, 9306013)"
"(9904209, 9506149)"
"(9904208, 9803224)"
"(9901136, 9605132)"
"(9912226, 9810163)"
"(9605054, 9206028)"
"(9504161, 9306028)"
"(9602117, 9310083)"
"(9912226, 9408171)"
"(9306028, 9207001)"
"(9904216, 9601135)"
"(9910007, 9606030)"
"(9602058, 9307035)"
"(9803071, 9412056)"
"(9811012, 9411075)"
"(9604072, 9407154)"
"(9404015, 9312036)"
"(9308136, 9211133)"
"(9806170, 9206063)"
"(9503181, 9410198)"
"(9808041, 9610209)"
"(9803025, 9201020)"
"(9803262, 9711203)"
"(9412152, 9404081)"
"(9809164, 9710105)"
"(9701098, 9412143)"
"(9804143, 9604072)"
"(9910156, 9306103)"
"(9306028, 9211036)"
"(9606030, 9602039)"
"(9707069, 9309030)"
"(9902150, 9312036)"
"(9902150, 9306013)"
"(9801058, 9511058)"
"(9609015, 9602058)"
"(9903092, 9801058)"
"(9712207, 9701027)"
"(9802019, 9212129)"
"(9811012, 9701096)"
"(9511098, 9203036)"
"(9803206, 9605054)"
"(9306079, 9210075)"
"(9609015, 9606030)"
"(9803025, 9505187)"
"(9905152, 9905092)"
"(9912226, 9601135)"
"(9712119, 9605132)"
"(9910071, 9905060)"
"(9701101, 9305122)"
"(9508045, 9503181)"
"(9803249, 9502058)"
"(9701160, 9603156)"
"(9705161, 9306103)"
"(9307059, 9206063)"
"(9910127, 9307078)"
"(9909052, 9212129)"
"(9603184, 9410042)"
"(9603114, 9306079)"
"(9706036, 9306103)"
"(9811070, 9208047)"
"(9503079, 9412143)"
"(9805156, 9705139)"
"(9707148, 9505083)"
"(9609106, 9410159)"
"(9609106, 9206028)"
"(9701096, 9605089)"
"(9605216, 9211079)"
"(9512129, 9412143)"
"(9910091, 9306103)"
"(9810163, 9503097)"
"(9409044, 9203036)"
"(9910156, 9509099)"
"(9804200, 9507143)"
"(9604026, 9508045)"
"(9511098, 9503181)"
"(9803092, 9704110)"
"(9503097, 9501033)"
"(9912107, 9910061)"
"(9605089, 9512095)"
"(9704021, 9409166)"
"(9909133, 9306028)"
"(9903092, 9612236)"
"(9509070, 9408112)"
"(9410126, 9301042)"
"(9212129, 9205105)"
"(9812051, 9803224)"
"(9904216, 9407022)"
"(9508045, 9207015)"
"(9801008, 9605216)"
"(9806138, 9805156)"
"(9907125, 9408112)"
"(9812051, 9503181)"
"(9805092, 9502037)"
"(9704001, 9609214)"
"(9803224, 9512095)"
"(9707148, 9308136)"
"(9701101, 9509142)"
"(9311041, 9303157)"
"(9803073, 9508024)"
"(9605089, 9411075)"
"(9701101, 9306103)"
"(9611052, 9409166)"
"(9306079, 9203036)"
"(9506163, 9408112)"
"(9707086, 9608036)"
"(9504108, 9211079)"
"(9902126, 9405159)"
"(9908146, 9905092)"
"(9901136, 9803073)"
"(9811070, 9201020)"
"(9904104, 9902099)"
"(9407135, 9210011)"
"(9812253, 9801058)"
"(9311019, 9212129)"
"(9909114, 9506033)"
"(9711061, 9701168)"
"(9805198, 9310083)"
"(9605089, 9411196)"
"(9902149, 9406047)"
"(9607104, 9303157)"
"(9504161, 9206028)"
"(9401154, 9311157)"
"(9708163, 9212129)"
"(9309030, 9306079)"
"(9701047, 9505187)"
"(9512085, 9503044)"
"(9804200, 9703166)"
"(9809061, 9607104)"
"(9911094, 9503101)"
"(9901136, 9410159)"
"(9811012, 9605054)"
"(9803262, 9305005)"
"(9909114, 9705202)"
"(9504161, 9310083)"
"(9911112, 9601164)"
"(9703113, 9612111)"
"(9903048, 9307030)"
"(9810163, 9809061)"
"(9909114, 9401154)"
"(9905203, 9412056)"
"(9512210, 9203037)"
"(9708163, 9403132)"
"(9611052, 9608190)"
"(9904209, 9801008)"
"(9609214, 9207015)"
"(9804200, 9206063)"
"(9811004, 9805092)"
"(9605109, 9512129)"
"(9809061, 9507143)"
"(9910071, 9308136)"
"(9311157, 9203037)"
"(9605112, 9206063)"
"(9809061, 9705139)"
"(9912107, 9908128)"
"(9803249, 9611202)"
"(9802019, 9704001)"
"(9904216, 9612226)"
"(9902149, 9402107)"
"(9910091, 9412143)"
"(9703210, 9604096)"
"(9910061, 9808095)"
"(9803263, 9607104)"
"(9406047, 9201056)"
"(9611052, 9512085)"
"(9704043, 9511143)"
"(9310083, 9205090)"
"(9804143, 9609122)"
"(9705202, 9607234)"
"(9603156, 9412056)"
"(9609015, 9605052)"
"(9905039, 9310132)"
"(9503181, 9501039)"
"(9705202, 9612093)"
"(9701047, 9409184)"
"(9803249, 9611052)"
"(9909114, 9603114)"
"(9311157, 9307078)"
"(9612225, 9602058)"
"(9810163, 9603156)"
"(9408112, 9311052)"
"(9910136, 9506163)"
"(9609106, 9306028)"
"(9508045, 9505187)"
"(9904209, 9512157)"
"(9512210, 9503101)"
"(9610062, 9212129)"
"(9608190, 9502058)"
"(9910087, 9201020)"
"(9608190, 9211079)"
"(9503101, 9408112)"
"(9703210, 9701160)"
"(9612226, 9404093)"
"(9704011, 9312036)"
"(9904104, 9605089)"
"(9910087, 9307078)"
"(9603156, 9503101)"
"(9608063, 9508045)"
"(9710105, 9610037)"
"(9809147, 9607234)"
"(9808108, 9701047)"
"(9808041, 9307078)"
"(9905203, 9406047)"
"(9904104, 9412056)"
"(9912226, 9301042)"
"(9903048, 9212129)"
"(9904209, 9812253)"
"(9407154, 9206063)"
"(9707086, 9404135)"
"(9712119, 2114)"
"(9905092, 9305005)"
"(9803262, 9203036)"
"(9905152, 9704043)"
"(9704082, 9603184)"
"(9904208, 9605089)"
"(9911112, 9908146)"
"(9812217, 9712207)"
"(9610083, 9404135)"
"(9603156, 9206063)"
"(9904216, 9604096)"
"(9803262, 9402107)"
"(9910091, 9602058)"
"(9704110, 9602058)"
"(9811012, 9712207)"
"(9907081, 9308136)"
"(9903048, 9901023)"
"(9601050, 9501033)"
"(9704021, 9608190)"
"(9706036, 9602058)"
"(9306028, 9302085)"
"(9612236, 9503044)"
"(9612093, 9503181)"
"(9605132, 9408112)"
"(9409166, 9310083)"
"(9803025, 9801008)"
"(9910061, 9612236)"
"(9704043, 9509099)"
"(9409044, 9310083)"
"(9711061, 9505083)"
"(9611202, 9512095)"
"(9905211, 9804143)"
"(9307129, 9306028)"
"(9910156, 9703204)"
"(9405026, 9306028)"
"(9805092, 9411075)"
"(9804200, 9605052)"
"(9505026, 9305122)"
"(9511098, 9309030)"
"(9612236, 9509142)"
"(9805156, 9509099)"
"(9904216, 9502058)"
"(9912107, 9811012)"
"(9912226, 9211068)"
"(9902150, 9302109)"
"(9708163, 9305005)"
"(9810163, 9806170)"
"(9804143, 9605109)"
"(9911112, 9610037)"
"(9804029, 9512085)"
"(9609015, 9306103)"
"(9709063, 9503181)"
"(9409044, 9212129)"
"(9910087, 9612190)"
"(9711061, 9709066)"
"(9801115, 9704043)"
"(9707086, 9507150)"
"(9808108, 9804200)"
"(9912107, 9703204)"
"(9803231, 9306034)"
"(9611202, 9303157)"
"(9909052, 9203036)"
"(9908128, 9508045)"
"(9709066, 9608057)"
"(9812051, 9306028)"
"(9707237, 9302010)"
"(9404093, 9310083)"
"(9710105, 9310083)"
"(9609106, 9408171)"
"(9911112, 9410159)"
"(9710105, 9210071)"
"(9710105, 9709066)"
"(9608057, 9211068)"
"(9705202, 9508045)"
"(9404186, 9303157)"
"(9704001, 9405027)"
"(9601050, 9408084)"
"(9910071, 9709066)"
"(9404081, 9206063)"
"(9512085, 9509142)"
"(9405018, 9306103)"
"(9706036, 9408171)"
"(9909052, 9208047)"
"(9909133, 9704082)"
"(9908146, 9812051)"
"(9911094, 9207015)"
"(9811012, 9706036)"
"(9904208, 9511143)"
"(9809061, 9511017)"
"(9811070, 9212129)"
"(9803262, 9704021)"
"(9603184, 9406047)"
"(9905092, 9206063)"
"(9802092, 9507052)"
"(9902126, 9704001)"
"(9606030, 9504161)"
"(9608057, 9505083)"
"(9804143, 9405159)"
"(9804200, 9511058)"
"(9903048, 9705202)"
"(9903129, 9412143)"
"(9910127, 9704082)"
"(9503227, 9408171)"
"(9709080, 9307030)"
"(9410121, 9408171)"
"(9511098, 9301042)"
"(9801058, 9705139)"
"(9809061, 9707237)"
"(9806138, 9412119)"
"(9310132, 9306079)"
"(9607234, 9502058)"
"(9707217, 9611202)"
"(9903129, 9604096)"
"(9510026, 9410126)"
"(9903129, 9610209)"
"(9503181, 9307059)"
"(9801008, 9409166)"
"(9902126, 2114)"
"(9703113, 9508122)"
"(9902189, 9801058)"
"(9910156, 9404174)"
"(9809061, 9509099)"
"(9706036, 9401154)"
"(9902099, 9405018)"
"(9611052, 9507052)"
"(9902189, 9804143)"
"(9911112, 9704021)"
"(9803263, 9206063)"
"(9807241, 9302109)"
"(9708163, 9306034)"
"(9910071, 9902101)"
"(9506136, 2114)"
"(9910136, 9803073)"
"(9707217, 9503181)"
"(9610062, 9308136)"
"(9801115, 9302109)"
"(9503227, 9210071)"
"(9512085, 9403132)"
"(9312036, 9210075)"
"(9704082, 9511098)"
"(9307129, 9206028)"
"(9603009, 9304008)"
"(9911112, 9304008)"
"(9902149, 9410042)"
"(9804200, 9701160)"
"(9803231, 9612226)"
"(9909114, 9811012)"
"(9705161, 9608063)"
"(9302085, 2114)"
"(9704082, 9603156)"
"(9902101, 9812051)"
"(9909059, 9809061)"
"(9701160, 9411075)"
"(9504161, 9412152)"
"(9502037, 9203036)"
"(9808095, 9707237)"
"(9904216, 9701168)"
"(9910119, 9709080)"
"(9712119, 9210071)"
"(9811004, 9604072)"
"(9409184, 9408112)"
"(9607234, 9311052)"
"(9912107, 9210075)"
"(9812051, 9610209)"
"(9901136, 9809010)"
"(9707086, 9306013)"
"(9608190, 9305005)"
"(9704011, 9408112)"
"(9905092, 9812253)"
"(9912107, 9503044)"
"(9701047, 9403132)"
"(9804143, 9406047)"
"(9803231, 9604026)"
"(9910183, 9312036)"
"(9910007, 9410159)"
"(9503044, 9411075)"
"(9608036, 9412152)"
"(9511098, 9405159)"
"(9911094, 9211068)"
"(9405189, 9307030)"
"(9803231, 9201020)"
"(9905038, 9904209)"
"(9910091, 9502058)"
"(9904209, 9211068)"
"(9603156, 9310083)"
"(9808041, 9611202)"
"(9410042, 9304096)"
"(9608190, 9604072)"
"(9711061, 9308136)"
"(9701098, 9206063)"
"(9605012, 9602058)"
"(9605012, 9309030)"
"(9606076, 9306028)"
"(9811070, 9704001)"
"(9303157, 9208047)"
"(9601050, 9410042)"
"(9310132, 9303157)"
"(9608190, 9501033)"
"(9912261, 9910087)"
"(9904104, 9704021)"
"(9806170, 9201020)"
"(9905176, 9804143)"
"(9307078, 9304096)"
"(9910007, 9707086)"
"(9905176, 9801058)"
"(9511098, 9502058)"
"(9805092, 9508024)"
"(9909133, 9603200)"
"(9910091, 9511143)"
"(9612236, 9410159)"
"(9605109, 9303157)"
"(9910127, 2114)"
"(9512210, 2114)"
"(9407154, 9404015)"
"(9405189, 9306028)"
"(9409166, 9306034)"
"(9804143, 9603200)"
"(9902101, 9505026)"
"(9605112, 9601135)"
"(9910091, 9804029)"
"(9801008, 9609015)"
"(9612151, 9410121)"
"(9910061, 9804200)"
"(9811004, 9503181)"
"(9811012, 9311157)"
"(9903082, 9302109)"
"(9606076, 9410042)"
"(9409184, 9302109)"
"(9707237, 9410121)"
"(9905176, 9904104)"
"(9902192, 9603114)"
"(9911065, 9803263)"
"(9910127, 9408084)"
"(9909114, 9603200)"
"(9612093, 9310132)"
"(9806170, 9203037)"
"(9910127, 9704001)"
"(9704001, 9602117)"
"(9804143, 9309030)"
"(9801004, 9512095)"
"(9404186, 9312036)"
"(9612111, 9207015)"
"(9609015, 9206028)"
"(9910156, 9510026)"
"(9412152, 9311157)"
"(9604026, 9507052)"
"(9904209, 9412143)"
"(9912261, 9905092)"
"(9506149, 9312036)"
"(9605112, 9604072)"
"(9605089, 9405027)"
"(9803025, 9403132)"
"(9705161, 9404015)"
"(9410121, 9208047)"
"(9902126, 9805092)"
"(9607104, 9409166)"
"(9610062, 9301042)"
"(9707086, 9503097)"
"(9811070, 9604072)"
"(9604096, 9512210)"
"(9805026, 9604072)"
"(9504108, 9412056)"
"(9905203, 9208047)"
"(9608057, 9308136)"
"(9912107, 9307078)"
"(9911094, 9310083)"
"(9903129, 9610237)"
"(9910127, 9801115)"
"(9911094, 9210071)"
"(9312036, 9304008)"
"(9905060, 9804143)"
"(9910091, 9609122)"
"(9911112, 9510026)"
"(9602117, 9506163)"
"(9611052, 9512210)"
"(9701047, 9606030)"
"(9805092, 9710105)"
"(9910119, 9803231)"
"(9804200, 9306034)"
"(9805198, 9410159)"
"(9611115, 9404015)"
"(9704043, 9602058)"
"(9712207, 9412152)"
"(9803025, 9605052)"
"(9911112, 9808108)"
"(9710105, 9309030)"
"(9405018, 9203036)"
"(9707237, 9404178)"
"(9607234, 9602058)"
"(9506033, 9505026)"
"(9803206, 9706036)"
"(9901136, 9812217)"
"(9910156, 9810154)"
"(9905092, 9901023)"
"(9707237, 9701047)"
"(9909133, 9902101)"
"(9907081, 9612226)"
"(9901136, 9305122)"
"(9811232, 9805156)"
"(9811004, 9409184)"
"(9603156, 9407022)"
"(9903129, 9703113)"
"(9701027, 9411075)"
"(9912226, 9203036)"
"(9812051, 9610237)"
"(9904208, 9608063)"
"(9801058, 9308136)"
"(9704043, 9501033)"
"(9507150, 9412056)"
"(9503079, 9306034)"
"(9901023, 9707217)"
"(9904208, 9210071)"
"(9707217, 9605109)"
"(9805026, 9503181)"
"(9704021, 9703210)"
"(9803071, 9612226)"
"(9508024, 9409184)"
"(9811070, 9412056)"
"(9903129, 9210071)"
"(9803071, 9403132)"
"(9910156, 9212129)"
"(9705024, 9512085)"
"(9801115, 9603156)"
"(9907081, 9610209)"
"(9910061, 9603184)"
"(9804143, 9605052)"
"(9801008, 9503227)"
"(9510026, 9409166)"
"(9911094, 9405159)"
"(9307059, 9306028)"
"(9910061, 9903048)"
"(9602117, 9307030)"
"(9910067, 9605012)"
"(9805092, 9803262)"
"(9803025, 9412143)"
"(9306103, 9303140)"
"(9607234, 9501033)"
"(9712207, 9305122)"
"(9610062, 9506149)"
"(9902149, 9808108)"
"(9606030, 9511033)"
"(9902192, 9305122)"
"(9905203, 9707086)"
"(9810154, 9804143)"
"(9410195, 9306028)"
"(9810163, 9806211)"
"(9911094, 9804029)"
"(9408171, 9303157)"
"(9607234, 9412143)"
"(9812051, 9306103)"
"(9607104, 9412119)"
"(9803263, 9403132)"
"(9703204, 9608125)"
"(9903048, 9306103)"
"(9410042, 9404093)"
"(9806138, 9211036)"
"(9809164, 9809061)"
"(9805156, 9305005)"
"(9910119, 9703210)"
"(9910156, 9801008)"
"(9508024, 9306028)"
"(9612190, 9303140)"
"(9505083, 9306079)"
"(9902126, 9810154)"
"(9910127, 9210071)"
"(9910087, 9704001)"
"(9902189, 9805198)"
"(9907125, 9801058)"
"(9810163, 9610062)"
"(9405189, 9310132)"
"(9809061, 9410159)"
"(9904216, 9412056)"
"(9912107, 9801115)"
"(9603200, 9303140)"
"(9405026, 2114)"
"(9803206, 9803025)"
"(9511033, 9308136)"
"(9801008, 9508045)"
"(9804200, 9604026)"
"(9703210, 9211068)"
"(9507150, 9308136)"
"(9703210, 9604072)"
"(9803025, 9701160)"
"(9901023, 9608125)"
